image_id,chip_id,flood_id,polarization,location,scene_start
awc00_vh,awc00,awc,vh,Bolivia,2018-02-15
awc00_vv,awc00,awc,vv,Bolivia,2018-02-15
awc01_vh,awc01,awc,vh,Bolivia,2018-02-15
awc01_vv,awc01,awc,vv,Bolivia,2018-02-15
awc02_vh,awc02,awc,vh,Bolivia,2018-02-15
awc02_vv,awc02,awc,vv,Bolivia,2018-02-15
awc03_vh,awc03,awc,vh,Bolivia,2018-02-15
awc03_vv,awc03,awc,vv,Bolivia,2018-02-15
awc04_vh,awc04,awc,vh,Bolivia,2018-02-15
awc04_vv,awc04,awc,vv,Bolivia,2018-02-15
awc05_vh,awc05,awc,vh,Bolivia,2018-02-15
awc05_vv,awc05,awc,vv,Bolivia,2018-02-15
awc06_vh,awc06,awc,vh,Bolivia,2018-02-15
awc06_vv,awc06,awc,vv,Bolivia,2018-02-15
awc07_vh,awc07,awc,vh,Bolivia,2018-02-15
awc07_vv,awc07,awc,vv,Bolivia,2018-02-15
awc08_vh,awc08,awc,vh,Bolivia,2018-02-15
awc08_vv,awc08,awc,vv,Bolivia,2018-02-15
awc09_vh,awc09,awc,vh,Bolivia,2018-02-15
awc09_vv,awc09,awc,vv,Bolivia,2018-02-15
awc10_vh,awc10,awc,vh,Bolivia,2018-02-15
awc10_vv,awc10,awc,vv,Bolivia,2018-02-15
awc11_vh,awc11,awc,vh,Bolivia,2018-02-15
awc11_vv,awc11,awc,vv,Bolivia,2018-02-15
awc12_vh,awc12,awc,vh,Bolivia,2018-02-15
awc12_vv,awc12,awc,vv,Bolivia,2018-02-15
awc13_vh,awc13,awc,vh,Bolivia,2018-02-15
awc13_vv,awc13,awc,vv,Bolivia,2018-02-15
awc14_vh,awc14,awc,vh,Bolivia,2018-02-15
awc14_vv,awc14,awc,vv,Bolivia,2018-02-15
ayt00_vh,ayt00,ayt,vh,Nigeria,2018-09-21
ayt00_vv,ayt00,ayt,vv,Nigeria,2018-09-21
ayt01_vh,ayt01,ayt,vh,Nigeria,2018-09-21
